#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229535    0.229535           0
           2    0.231087    0.230311 0.000548567
           3    0.230274    0.230299 0.000365849
           4    0.230435    0.230333 0.000275955
           5     0.22993    0.230252   0.0002322
           6    0.229866    0.230188  0.00020224
           7    0.228927    0.230008  0.00024059
           8    0.227891    0.229743 0.000324915
           9    0.230726    0.229852 0.000306617
          10    0.229948    0.229862 0.000276105
          11    0.231193    0.229983 0.000276247
          12    0.227957    0.229814 0.000300402
          13    0.228962    0.229749 0.000284359
          14    0.229856    0.229756 0.000264152
          15    0.230125    0.229781 0.000247685
          16    0.228401    0.229695 0.000246755
          17    0.227759    0.229581 0.000257171
          18     0.22824    0.229506  0.00025344
          19    0.231445    0.229608 0.000259837
          20    0.230491    0.229652 0.000250561
